feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
artist_count,-0.09060309483943885,0.2561919143195293,0.2042774062101511,0.0012558761015485503,-0.24540114241882255,0.46729255155872595,0.5179723769843896,0.5743305566761173,-0.0479394951983378,-0.03389285469723152,-0.04618195164271685,0.04326245725352619,-0.015478745816568934
in_spotify_playlists,0.5074373630868971,0.024191614832812625,0.04409616312306394,-0.01389379618184183,-0.024599910614536764,0.08084186067249133,0.01022718666875086,-0.02792305343345003,-0.031398988044677625,-0.06433457156184637,-0.15272121653316845,-0.0010251654896092088,0.8386358389368489
streams,0.4962845024533739,0.0210939807310582,0.04752882965930459,-0.01153132615742183,-0.012226489521449037,0.04302642828162514,-0.02731865973876374,-0.03430995377366629,0.046763910500304554,0.0498198298378434,-0.11605720206322166,0.7900318661578526,-0.32349966047783074
in_apple_playlists,0.4744310077663441,0.1383888488322955,0.04862032228004431,-0.003987758110705562,0.003165149752997091,0.006145127334822156,0.01796314202284064,0.05552025211740079,0.022491526170618035,-0.038577696222855166,0.8177750673056849,-0.24052683099721994,-0.14603982085087608
in_deezer_playlists,0.49348356933548343,0.03476726894048046,0.019831930116399492,-0.0015065357887427875,-0.03549651039568018,0.0313859980344066,0.051112797720224264,-0.04009694688920061,-0.03470446243659094,0.08485638122194039,-0.5216344170182489,-0.5569251222736771,-0.397153874909943
bpm,0.03936692068356634,-0.024133025136644448,-0.1459566848051841,0.6380121647784701,0.6431420732112091,0.07225717063094067,0.16658124947683003,0.16219372297065995,0.295069393611148,0.09106971379124211,-0.025537000913404585,-0.004397778342652736,0.02376775615408247
danceability,-0.0817955569323639,0.4445376121724145,0.37242952667526913,-0.22484930081895957,0.026093474688880857,-0.13528562764798774,0.053991903094999974,-0.1964096253676071,0.6686555152388411,0.3050245866004204,-0.03813464619559914,-0.024327600285123978,0.061429804975639546
valence,-0.022587091535697212,0.4366703690799456,0.18460838703803353,0.17561113879202786,0.11141909597235418,-0.49281588315576064,0.3659080950517381,-0.2090988648096836,-0.32980575475907165,-0.44147320747396246,-0.06136065190362831,0.05476572441277408,-0.023699399610589228
energy,-0.03018792130134418,0.5249034259047971,-0.4016066475518106,-0.020457395527997854,0.07193022681538166,0.003240256469436903,-0.07079734148283404,-0.002696195058230072,-0.41509291871836396,0.6113033097488622,0.017003488381396946,0.04066866428299954,0.06097345421612155
acousticness,0.01659949370187147,-0.45702790288466855,0.3900604508771059,0.16155885535202422,-0.11275909603247784,-0.256392624807983,0.39232589271679935,-0.10381252750297418,-0.21964782153945056,0.5569869013496296,0.09126100436955789,0.013543149159621404,0.04961384248583439
instrumentalness,-0.0006660986146074521,-0.1528174472150498,-0.30205785090870607,-0.4793339030205874,0.3309203910983915,0.2682577258169239,0.5552945916148501,-0.40000961487489745,0.0156695622320219,-0.050830382663692955,0.050667926900545016,0.010545093896291926,-0.01756300886997199
liveness,-0.014701021070753106,0.05686354130630612,-0.37496807838286406,0.4554413119030488,-0.6045210760084698,0.11258678625466874,0.20433256643006692,-0.40726438800650244,0.2456056306157357,-0.023587112220965097,0.04292693598403391,0.00615377517492011,0.005089754484805975
speechiness,-0.09610108358231428,0.11451387907018784,0.460377688782469,0.21792359063628336,0.1348487955974159,0.5961976888278462,-0.23308710059288024,-0.4671564130398301,-0.2622324120636059,-0.015587469635800565,0.036283440360076434,-0.01900865002528477,-0.03640918893410244
